# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: 6368
# Data supplier: Tim Brothers - MIT Wallace Astrophysical Observatory
# Location name: Westford, MA
# Position (lat, lon, elev(m)): +42.6100, -71.4840, +105
# Local timezone: America/New_York
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 6368
# SQM firmware version: 4-3-80
# SQM cover offset value: -0.15
# SQM readout test ix: i,00000004,00000003,00000080,00006368
# SQM readout test rx: r, 16.48m,0000000024Hz,0000019038c,0000000.041s, 032.5C
# SQM readout test cx: c,00000019.95m,0000112.509s, 021.2C,00000008.71m, 024.1C
# Comment: Data acquired by SQM Reader Pro v3.2.2.0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-06-25T02:21:23.000;2026-06-24T21:21:23.000;32.5;;;16.48
2026-06-25T02:23:45.000;2026-06-24T21:23:45.000;32.5;;;16.78
2026-06-25T02:25:45.000;2026-06-24T21:25:45.000;32.5;;;17.03
2026-06-25T02:27:45.000;2026-06-24T21:27:45.000;32.2;;;17.25
2026-06-25T02:29:45.000;2026-06-24T21:29:45.000;32.2;;;17.53
2026-06-25T02:31:45.000;2026-06-24T21:31:45.000;32.2;;;17.76
2026-06-25T02:33:45.000;2026-06-24T21:33:45.000;32.2;;;17.99
2026-06-25T02:35:45.000;2026-06-24T21:35:45.000;32.2;;;18.19
2026-06-25T02:37:45.000;2026-06-24T21:37:45.000;32.2;;;18.34
2026-06-25T02:39:45.000;2026-06-24T21:39:45.000;32.2;;;18.46
2026-06-25T02:41:45.000;2026-06-24T21:41:45.000;32.2;;;18.58
2026-06-25T02:43:45.000;2026-06-24T21:43:45.000;31.9;;;18.68
2026-06-25T02:45:45.000;2026-06-24T21:45:45.000;31.9;;;18.75
2026-06-25T02:47:45.000;2026-06-24T21:47:45.000;31.9;;;18.77
2026-06-25T02:49:45.000;2026-06-24T21:49:45.000;31.9;;;18.78
2026-06-25T02:51:45.000;2026-06-24T21:51:45.000;31.9;;;18.8
2026-06-25T02:53:45.000;2026-06-24T21:53:45.000;31.9;;;18.86
2026-06-25T02:55:45.000;2026-06-24T21:55:45.000;31.9;;;18.93
2026-06-25T02:57:45.000;2026-06-24T21:57:45.000;31.9;;;19.01
2026-06-25T02:59:45.000;2026-06-24T21:59:45.000;31.9;;;19.11
2026-06-25T03:01:45.000;2026-06-24T22:01:45.000;31.9;;;19.21
2026-06-25T03:03:45.000;2026-06-24T22:03:45.000;31.9;;;19.27
2026-06-25T03:05:45.000;2026-06-24T22:05:45.000;31.9;;;19.27
2026-06-25T03:07:45.000;2026-06-24T22:07:45.000;31.9;;;19.26
2026-06-25T03:09:45.000;2026-06-24T22:09:45.000;31.5;;;19.24
2026-06-25T03:11:45.000;2026-06-24T22:11:45.000;31.5;;;19.24
2026-06-25T03:13:45.000;2026-06-24T22:13:45.000;31.5;;;19.24
2026-06-25T03:15:45.000;2026-06-24T22:15:45.000;31.5;;;19.3
2026-06-25T03:17:45.000;2026-06-24T22:17:45.000;31.5;;;19.35
2026-06-25T03:19:45.000;2026-06-24T22:19:45.000;31.5;;;19.37
2026-06-25T03:21:45.000;2026-06-24T22:21:45.000;31.5;;;19.39
2026-06-25T03:23:45.000;2026-06-24T22:23:45.000;31.5;;;19.41
2026-06-25T03:25:45.000;2026-06-24T22:25:45.000;31.5;;;19.42
2026-06-25T03:27:45.000;2026-06-24T22:27:45.000;31.5;;;19.43
2026-06-25T03:29:45.000;2026-06-24T22:29:45.000;31.2;;;19.44
2026-06-25T03:31:45.000;2026-06-24T22:31:45.000;31.2;;;19.45
2026-06-25T03:33:45.000;2026-06-24T22:33:45.000;31.2;;;19.45
2026-06-25T03:35:45.000;2026-06-24T22:35:45.000;31.2;;;19.45
2026-06-25T03:37:45.000;2026-06-24T22:37:45.000;31.2;;;19.45
2026-06-25T03:39:45.000;2026-06-24T22:39:45.000;31.2;;;19.47
2026-06-25T03:41:45.000;2026-06-24T22:41:45.000;31.2;;;19.48
2026-06-25T03:43:45.000;2026-06-24T22:43:45.000;31.2;;;19.48
2026-06-25T03:45:45.000;2026-06-24T22:45:45.000;31.2;;;19.48
2026-06-25T03:47:45.000;2026-06-24T22:47:45.000;31.2;;;19.49
2026-06-25T03:49:45.000;2026-06-24T22:49:45.000;30.9;;;19.49
2026-06-25T03:51:45.000;2026-06-24T22:51:45.000;30.9;;;19.49
2026-06-25T03:53:45.000;2026-06-24T22:53:45.000;30.9;;;19.48
2026-06-25T03:55:53.590;2026-06-24T22:55:53.590;;;;
2026-06-25T03:57:45.000;2026-06-24T22:57:45.000;30.9;;;19.47
2026-06-25T03:59:45.000;2026-06-24T22:59:45.000;30.9;;;19.46
2026-06-25T04:01:45.000;2026-06-24T23:01:45.000;30.9;;;19.45
